model,epoch,train_mse,val_mse,learning_rate
LSTM,1,0.00715874029000727,0.0046004421216376285,0.001
LSTM,2,0.004580551956250166,0.003981769704755316,0.001
LSTM,3,0.004452210471784183,0.0038321024742215236,0.001
LSTM,4,0.004234151046333788,0.003550875167104792,0.001
LSTM,5,0.004076988398219967,0.0043142736766566625,0.001
LSTM,6,0.0038820102562269108,0.0033188207217670503,0.001
LSTM,7,0.00401239467100048,0.0035510899451501824,0.001
LSTM,8,0.003840260893755096,0.003590054195770558,0.001
LSTM,9,0.0037862227138539435,0.003554587853240206,0.001
LSTM,10,0.0036843328981744756,0.0034116577388758353,0.0005
LSTM,11,0.0035100206832860176,0.0032752452331020476,0.0005
LSTM,12,0.003520899316575101,0.003470549023848899,0.0005
LSTM,13,0.003468287725313997,0.003592459467497278,0.0005
LSTM,14,0.0034743638999804555,0.003281774990102078,0.0005
LSTM,15,0.0034250983630975873,0.003291241723172208,0.00025
LSTM,16,0.003382931515160534,0.003269514767254921,0.00025
LSTM,17,0.003354252609450064,0.003269384138761683,0.00025
LSTM,18,0.0033151878348502925,0.003309643086283765,0.00025
LSTM,19,0.0033063229354611478,0.003352637546969221,0.00025
LSTM,20,0.003312812495731664,0.0033082493006231935,0.000125
LSTM,21,0.0032488987222075993,0.0033660762701579867,0.000125
LSTM,22,0.003239792042914199,0.003385157425035822,0.000125
LSTM,23,0.003334771675640926,0.0032990133619688927,0.000125
LSTM,24,0.003231621001442286,0.0033129327982030017,6.25e-05
LSTM,25,0.003226630956304437,0.003311455749926415,6.25e-05
LSTM,26,0.0032387353612087022,0.003319078920845022,6.25e-05
LSTM,27,0.0032570003472401797,0.003288220397018372,6.25e-05
LSTM,28,0.0032659261587039017,0.003288597661129972,3.125e-05
LSTM,29,0.0032129987736604078,0.0032997838701022434,3.125e-05
LSTM,30,0.003205274615124369,0.003290184648271571,3.125e-05
MLP,1,0.009259750384229987,0.0044280792202087155,0.001
MLP,2,0.005689162981017263,0.004293576358480656,0.001
MLP,3,0.005086945139288763,0.00651936633314224,0.001
MLP,4,0.004848883014089848,0.003650364229812267,0.001
MLP,5,0.00441929181441411,0.003500657860744507,0.001
MLP,6,0.004327940630693609,0.004157903700908448,0.001
MLP,7,0.004256032246710925,0.0035618973975168897,0.001
MLP,8,0.004248022256147873,0.0035251952176715467,0.001
MLP,9,0.003934304227932761,0.003663054827521456,0.0005
MLP,10,0.003923940106456415,0.003535271814845978,0.0005
MLP,11,0.0036864365421698645,0.0035519690423252734,0.0005
MLP,12,0.0038080817634036004,0.003380084881123076,0.0005
MLP,13,0.003803993138952895,0.0034070934656452627,0.0005
MLP,14,0.0036227958105986627,0.0033751528535751587,0.0005
MLP,15,0.0036350947316290344,0.003561068039308203,0.0005
MLP,16,0.00362728482907025,0.0035789258992101284,0.0005
MLP,17,0.0036036119308273506,0.003421365589378996,0.0005
MLP,18,0.0036580166764590668,0.0034901197413180736,0.00025
MLP,19,0.0033379633183023712,0.0033881247328951002,0.00025
MLP,20,0.0034430259016012196,0.0035510477812049236,0.00025
MLP,21,0.003443400627703883,0.0034165389954726746,0.00025
MLP,22,0.003312514463091478,0.003485848902863391,0.000125
MLP,23,0.003315344549201686,0.0034421463762509064,0.000125
MLP,24,0.0032550792369187486,0.0034735360694058397,0.000125
MLP,25,0.003174128586502897,0.0035167416280254406,0.000125
MLP,26,0.003275502157124396,0.0034360469005843427,6.25e-05
MLP,27,0.003199137968323227,0.0034398944778962336,6.25e-05
MLP,28,0.003248318016414898,0.0034366616313444807,6.25e-05
MLP,29,0.003197373426251713,0.0034063720441562064,6.25e-05
MLP,30,0.003177224893044409,0.0034556182909836163,3.125e-05
